name,code,males,females,u18,adult,over64,male0,male1,male2,male3,male4,male5,male6,male7,male8,male9,male10,male11,male12,male13,male14,male15,male16,male17,male18,female0,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18
Newcastle upon Tyne,E08000021,144214,142607,55368,190640,40813,8901,7665,7375,10555,20485,12631,10068,8189,8632,8655,8532,7668,6755,6092,4077,3568,2486,1309,571,8319,7343,6680,10439,18631,11253,9746,7811,8199,8668,8685,7459,6664,6091,4713,4441,3571,2363,1531
North Tyneside,E08000022,97652,104500,40474,123842,37836,6035,5896,5312,5775,5323,5792,6705,6071,7078,7620,7176,6513,5962,5725,3781,3149,2171,1112,456,5663,5484,5090,5448,5296,6549,7077,6395,7513,7840,7620,6826,6257,6220,4379,4091,3345,2114,1293
South Tyneside,E08000023,71730,76796,29442,90862,28222,4312,4011,3874,4606,4786,4600,4268,3720,4742,5486,5562,5018,4494,4142,2879,2454,1654,781,341,4057,3951,3799,4418,4430,4845,4603,4085,5098,5849,5886,5111,4693,4340,3348,3085,2542,1663,993
Sunderland,E08000024,134377,141703,54544,171719,49817,8024,7747,7438,8463,10227,8922,8097,7196,9175,9842,9950,9215,8216,7433,5273,4464,2971,1273,451,7545,7260,6835,8222,10101,8895,8322,7851,9890,10536,10206,9361,8727,8240,6180,5615,4296,2398,1223
NORTH WEST,E12000002,3495013,3608247,1509521,4341152,1252587,225253,214312,201333,223442,248818,235206,225197,205067,243426,256601,242597,210140,200790,194035,138406,108005,70995,36423,14967,215013,203073,191757,212163,244920,235887,227619,208163,251115,263925,248346,213429,203081,201993,153218,129947,100552,64195,39851
Blackburn with Darwen,E06000008,73354,74015,38536,88629,20204,5713,5429,5206,5417,4558,5012,5191,4801,5254,5080,4745,3979,3748,3337,2255,1765,1107,530,227,5490,5376,4912,4933,4454,5396,5244,4495,5298,5030,4631,4061,3712,3295,2483,2003,1580,1030,592
Blackpool,E06000009,69488,71912,29030,84191,28179,4279,4030,3783,4247,4377,4191,4028,3646,4873,5588,5248,4404,4165,4257,3167,2386,1645,822,352,4201,3847,3702,4223,4388,4394,4032,3709,4909,5461,5039,4337,4120,4357,3414,2939,2282,1516,1042
Cheshire East,E06000049,182574,190133,74930,219742,78035,10419,10786,10358,11121,9717,9223,9760,10382,13265,14558,13999,11787,11854,12121,8486,6706,4528,2440,1064,9911,10088,9985,10239,9137,9434,10119,10929,14174,15243,14194,11968,12022,12638,9187,7836,6121,4096,2812
Cheshire West and Chester,E06000050,161223,169803,66123,199026,65877,9425,9469,9010,9970,9606,9079,9174,9042,11592,12477,11895,10369,10231,10280,7348,5648,3775,1987,846,8917,8917,8653,9582,10201,9226,9778,9705,12217,12998,12390,10708,10518,10649,7905,6763,5137,3432,2107
Halton,E06000006,61471,64499,28152,77512,20306,4165,4123,3661,3902,3750,3997,3913,3559,4383,4453,4370,3968,3948,3515,2259,1689,1125,502,189,4115,3893,3597,3756,3816,4252,4074,3814,4543,4581,4688,4253,4090,3506,2512,2105,1524,873,507
Warrington,E06000007,101722,103387,44299,125746,35064,6440,6206,6159,6332,6147,6368,6513,6346,7798,8275,7604,6043,5732,5586,3994,3076,1833,922,348,6165,5966,5745,5813,5655,6397,6543,6432,7911,8216,7461,6101,5677,5947,4660,3491,2558,1627,1022
Cumbria,E10000006,245391,252679,94005,293634,110431,12975,13186,13068,14790,13781,13070,12883,12363,16602,18984,18887,16912,17091,17442,12739,9484,6473,3248,1413,12239,12445,12514,13705,12673,12715,13193,13076,17621,19554,18833,17126,17353,17407,13166,11044,8644,5792,3579
Allerdale,E07000026,47350,48858,18345,56381,21482,2475,2490,2655,2959,2507,2430,2414,2371,3168,3752,3526,3305,3389,3406,2545,1864,1250,602,242,2429,2349,2492,2638,2250,2353,2506,2428,3523,3843,3661,3309,3504,3387,2604,2158,1668,1091,665
Barrow-in-Furness,E07000027,33521,34310,13667,40384,13780,1870,1928,1863,2159,2007,2007,1826,1714,2279,2695,2562,2128,2129,2203,1709,1170,765,353,154,1798,1831,1847,2029,1836,2015,1774,1870,2473,2703,2410,2165,2133,2243,1730,1374,988,633,458
Carlisle,E07000028,52685,55264,20951,65803,21195,3190,2979,2670,3017,3408,3142,3166,2946,3821,3885,4096,3427,3406,3142,2341,1815,1270,642,322,2994,2851,2682,3120,3718,3191,3264,2996,3768,3993,4064,3552,3408,3314,2539,2226,1721,1169,694
Copeland,E07000029,35177,34842,13433,42228,14358,1933,1936,1799,2087,2056,1989,1955,1758,2348,2749,2891,2538,2364,2427,1682,1291,854,375,145,1763,1788,1747,1834,1783,1907,1953,1888,2448,2776,2635,2414,2322,2213,1748,1486,1073,675,389
Eden,E07000030,26076,26531,9553,30521,12533,1238,1395,1377,1518,1453,1252,1213,1181,1723,2078,2020,1824,1999,1996,1462,1058,749,380,160,1135,1246,1317,1395,1208,1067,1219,1273,1882,2148,2005,1918,1990,1962,1480,1234,958,675,419
South Lakeland,E07000031,50582,52874,18056,58317,27083,2269,2458,2704,3050,2350,2250,2309,2393,3263,3825,3792,3690,3804,4268,3000,2286,1585,896,390,2120,2380,2429,2689,1878,2182,2477,2621,3527,4091,4058,3768,3996,4288,3065,2566,2236,1549,954
Greater Manchester (Met County),E11000001,1344656,1370288,611399,1687427,416118,94738,87856,79439,86583,102675,101519,97027,84955,95101,96872,87482,74511,69314,65385,46221,35350,22717,12055,4856,90822,83120,75502,81523,100867,102024,97180,84344,95967,98192,88562,73610,69041,68219,51576,42950,32928,20860,13001
Bolton,E08000001,138662,141395,65847,168549,45661,9970,9346,8867,9668,9129,9170,8747,8373,10004,10026,9130,7845,7603,7440,5261,3878,2388,1282,535,9619,8693,8144,8556,8679,9641,8956,8551,10200,10431,9386,7980,7682,7667,5810,4402,3494,2202,1302
Bury,E08000002,91253,95274,42359,112246,31922,6477,6103,5574,5837,5487,5512,5807,5404,6567,7050,6464,5347,5277,5192,3547,2640,1668,922,378,6030,5738,5379,5411,5172,6017,6218,5862,6987,7284,6781,5444,5376,5405,3908,3378,2427,1474,983
Manchester,E08000003,259971,254446,112808,352612,48997,19340,16168,13608,17127,34428,30031,25565,18477,16442,15085,12620,10651,9056,7310,5149,4095,2721,1492,606,18488,15688,12989,16482,34416,27255,23247,16563,15302,14910,12643,10098,8741,7633,6031,5393,4221,2725,1621
Oldham,E08000004,111799,115513,57168,134787,35357,8326,8288,7897,7601,7272,7625,7307,6755,8040,7952,7136,6214,5775,5524,3946,2968,1791,961,421,8218,7888,7236,7341,7032,7935,7560,6651,7919,8152,7467,6357,6011,6058,4478,3658,2670,1701,1181
Rochdale,E08000005,104073,108047,50562,128520,33038,7643,7257,6645,7105,6842,6672,7051,6094,7401,7601,6917,6212,5830,5279,3622,2793,1805,960,344,7350,6759,6225,6809,6683,7370,7251,6493,7584,7697,7329,6418,5844,5477,4070,3309,2685,1688,1006
Salford,E08000006,119754,119259,52269,151847,34897,8754,7481,6226,7050,9812,10991,10049,7776,7965,8285,7685,6308,5826,5330,3813,3018,1883,1077,425,8360,6989,6236,6872,9634,10658,9412,7211,7928,7910,7269,5961,5468,5518,4312,3620,2801,1909,1191
Stockport,E08000007,139389,145643,61021,169504,54507,8972,8912,8044,8592,7464,7907,8287,8555,10045,10787,10267,8963,8229,7997,5881,4756,3287,1711,733,8631,8186,7799,7982,7373,8348,9077,8765,10558,11245,10435,8814,8288,8497,6585,5696,4667,2884,1813
Tameside,E08000008,108464,112133,48667,134906,37024,7514,6765,6254,6922,6697,6888,6901,6444,7919,8513,7985,6605,6248,6188,4173,3131,1924,997,396,7319,6561,6065,6447,6849,7548,7373,6649,8036,8614,7786,6429,6242,6190,4574,3842,2794,1694,1121
Trafford,E08000009,112626,117553,52925,138805,38449,7738,7755,7172,7072,5913,6794,7379,7605,8619,8658,8103,6902,5966,5472,3860,3335,2439,1272,572,7294,7390,6928,6456,5574,6795,7962,8044,9204,9464,8227,6676,6040,5858,4578,4167,3337,2189,1370
Wigan,E08000010,158665,161025,67773,195651,56266,10004,9781,9152,9609,9631,9929,9934,9472,12099,12915,11175,9464,9504,9653,6969,4736,2811,1381,446,9513,9228,8501,9167,9455,10457,10124,9555,12249,12485,11239,9433,9349,9916,7230,5485,3832,2394,1413
Lancashire,E10000017,581174,598902,243975,708838,227263,35553,34749,33487,37415,41210,35214,33321,32489,39946,43100,40606,35838,35283,35546,25383,19734,12799,6709,2792,33575,32772,31186,35794,40268,35049,34006,32729,41402,43313,41722,36801,35985,37046,27403,22877,17876,11687,7411
Burnley,E07000117,42785,44109,19457,52315,15122,3040,2793,2556,2693,2677,2851,2660,2627,2931,3071,2882,2677,2499,2497,1690,1224,811,408,198,2884,2708,2260,2583,2731,3005,2861,2595,2876,3036,2985,2652,2639,2583,1750,1511,1155,766,529
Chorley,E07000118,55394,55111,22841,67524,20140,3332,3311,3076,3157,3070,3484,3329,3606,4348,4375,4071,3476,3428,3548,2397,1673,1006,508,199,3185,3142,2859,3096,2800,3322,3250,3403,4230,4307,3853,3480,3375,3545,2513,1829,1394,922,606
Fylde,E07000119,37277,39165,13748,43109,19585,1837,1941,1983,2009,1754,1987,1894,1820,2452,2917,2850,2653,2538,2819,2019,1660,1152,699,293,1789,1860,1855,1832,1680,1734,1791,1947,2477,2976,3027,2634,2620,2956,2351,2032,1736,1136,732
Hyndburn,E07000120,39640,40406,18529,47708,13809,2860,2603,2483,2619,2445,2476,2487,2372,2826,2935,2618,2300,2327,2258,1568,1169,741,401,152,2613,2466,2324,2512,2399,2657,2584,2303,2891,2878,2653,2357,2249,2362,1646,1361,1061,675,415
Lancaster,E07000121,68745,71830,26589,87106,26880,3938,3715,3681,5311,7734,3928,3676,3538,4275,4585,4456,3895,3900,4015,3016,2314,1574,831,363,3619,3292,3532,5089,7408,4090,4000,3630,4431,4943,4806,4119,4104,4185,3136,2768,2246,1492,940
Pendle,E07000122,44413,45718,20821,53782,15528,3327,2966,2657,2708,2622,3099,3076,2701,2967,2931,2905,2590,2784,2573,1683,1292,852,486,194,3147,2849,2595,2568,2629,3216,3037,2665,3042,3019,2985,2832,2686,2618,1778,1505,1222,831,494
Preston,E07000123,70653,69765,30385,89973,20060,4741,4459,3878,4729,7615,5409,5023,4229,4796,4967,4532,3761,3424,2976,2170,1822,1222,638,262,4598,4106,3721,4523,7497,5154,4568,3936,4689,4595,4451,3665,3292,3006,2412,2167,1666,1043,676
Ribble Valley,E07000124,28420,29438,11948,33331,12579,1405,1658,1853,1951,1425,1316,1169,1386,2044,2347,2281,1971,1903,2018,1381,1108,672,374,158,1336,1558,1752,1678,1334,1233,1331,1478,2266,2416,2227,2023,1938,2095,1509,1203,982,625,454
Rossendale,E07000125,33793,34951,15110,42020,11614,2200,2164,2065,2034,1892,1978,1990,2041,2541,2753,2471,2185,2126,2066,1314,968,569,291,145,2183,2040,1907,2072,1939,2053,2161,2136,2637,2602,2570,2231,2159,2089,1301,1063,856,577,375
South Ribble,E07000126,53401,55512,22460,65302,21151,3285,3125,3046,3287,2997,3282,3073,3128,3857,4159,3849,3370,3298,3339,2400,1880,1168,616,242,3014,3076,2902,3045,2983,3231,3244,3275,4069,4295,3972,3439,3461,3561,2648,2051,1606,1046,594
West Lancashire,E07000127,54123,57191,22357,66298,22659,2977,3221,3334,3669,4096,2794,2475,2727,3654,4170,3895,3412,3434,3510,2618,2042,1273,602,220,2841,2989,2910,3840,4197,2724,2663,2856,4098,4208,4115,3693,3663,3837,2826,2395,1648,1037,651
Wyre,E07000128,52530,55706,19730,60370,28136,2611,2793,2875,3248,2883,2610,2469,2314,3255,3890,3796,3548,3622,3927,3127,2582,1759,855,366,2366,2686,2569,2956,2671,2630,2516,2505,3696,4038,4078,3676,3799,4209,3533,2992,2304,1537,945
Merseyside (Met County),E11000002,673960,712629,279072,856407,251110,41546,38478,37162,43665,52997,47533,43387,37484,44612,47214,47761,42329,39424,36566,26554,22167,14993,7208,2880,39578,36649,35961,42595,53461,47000,43450,38930,47073,51337,50826,44464,40563,38929,30912,27939,21902,13282,7778
Knowsley,E08000011,69446,76640,32383,89666,24037,4865,4441,4309,4950,4850,4409,4001,3531,4517,5079,5368,4759,3928,3336,2500,2208,1464,685,246,4493,4300,4119,4788,4964,5196,4731,4206,5205,5826,5896,5045,4273,3699,2915,2934,2279,1186,585
Liverpool,E08000012,232641,238139,89401,313101,68278,14106,12117,11346,15103,26074,21335,18787,14290,14926,14604,14745,13022,11776,10131,7323,6249,4103,1851,753,13482,11598,11289,15648,26940,19145,17013,13460,14783,15878,15804,13520,11711,10418,8304,7725,5995,3541,1885
Sefton,E08000014,130997,142210,53561,159457,60189,7604,7354,7367,8259,8096,7554,6861,6458,8525,9675,10132,9044,8312,8181,6068,5281,3635,1864,727,7118,6987,7153,7918,7460,7668,7204,7130,9259,10578,10808,9788,8706,8955,7448,6978,5582,3364,2106
St. Helens,E08000013,86629,89592,36271,105978,33972,5301,5041,4946,5378,5214,5365,5125,5012,6146,6564,6211,5500,5438,5399,3878,3055,1891,864,301,5221,4769,4560,5020,5275,5439,5381,5003,6538,6599,6170,5497,5536,5718,4319,3617,2479,1541,910
Wirral,E08000015,154247,166048,67456,188205,64634,9670,9525,9194,9975,8763,8870,8613,8193,10498,11292,11305,10004,9970,9519,6785,5374,3900,1944,853,9264,8995,8840,9221,8822,9552,9121,9131,11288,12456,12148,10614,10337,10139,7926,6685,5567,3650,2292
YORKSHIRE AND THE HUMBER,E12000003,2629976,2707734,1137668,3264220,935822,170763,161050,150100,170309,200104,175470,168396,155367,184142,191118,179279,157541,148294,144041,100277,80993,53108,28024,11600,163318,154653,144704,163736,192106,176161,169747,154167,186813,192603,181303,159261,151383,151998,112360,98829,75739,48609,30244
East Riding of Yorkshire,E06000011,164679,171328,63400,194395,78212,8463,8818,9007,10395,8462,7844,7800,8652,11328,12694,12585,11391,11644,12360,8636,6851,4540,2303,906,7891,8461,8715,9670,7515,7654,8130,8950,12019,13001,12632,11746,12328,13105,9403,8055,5953,3645,2455
"Kingston upon Hull, City of",E06000010,129159,128430,55264,164663,37662,9306,7868,6708,8098,12501,10532,9259,8234,8815,8925,8459,7098,6458,5810,3954,3358,2195,1103,478,8706,7441,6241,7738,11655,10509,8931,7532,8391,8621,8407,7126,6368,5922,4439,4030,3257,2013,1103
North East Lincolnshire,E06000012,78384,81443,34423,95259,30145,5119,4947,4449,4916,5081,5163,4585,4325,5389,5690,5657,4904,4639,4545,3165,2704,1832,874,400,5060,4605,4352,4759,4972,5370,4722,4198,5559,5940,5721,4933,4627,4730,3599,3262,2451,1595,988
North Lincolnshire,E06000013,83281,85479,35351,100887,32522,5098,5115,4769,5030,4718,5065,4850,4550,5764,6424,6170,5435,5403,5230,3657,2863,1817,969,354,4951,4900,4514,4745,4605,5232,4965,4575,5872,6382,6070,5572,5464,5254,3932,3168,2564,1629,1085
York,E06000014,98757,103676,36331,130402,35700,5445,5164,4738,6809,10847,7440,6599,5952,6688,6818,6208,5422,5132,5124,3533,3000,2124,1157,557,5227,5026,4562,7029,10900,7029,6518,5880,6839,6954,6428,5630,5449,5726,4260,3893,2978,2011,1337
North Yorkshire,E10000023,297328,305421,118317,350891,133541,15934,16343,16915,18653,17516,16630,15265,14756,20028,22661,22733,20091,19711,20811,14236,11382,7717,4066,1880,15145,15526,15822,16554,13657,14676,14964,15645,21220,24078,23185,20723,20777,21686,16000,13644,10536,7046,4537
Craven,E07000163,26781,28759,10506,31370,13664,1277,1430,1680,1569,1270,1166,1246,1217,1811,2029,2077,2043,1922,2068,1446,1100,780,433,217,1250,1294,1496,1551,1153,1152,1261,1351,1976,2254,2207,2080,2114,2216,1597,1356,1119,746,586
Hambleton,E07000164,44492,45421,17094,51867,20952,2278,2373,2476,2636,2433,2506,2236,2051,2775,3604,3512,2922,3157,3250,2297,1809,1270,646,261,2111,2295,2368,2336,1960,2048,2002,2171,3154,3740,3522,3128,3167,3423,2562,2174,1602,1003,655
Harrogate,E07000165,77418,80831,33363,91321,33565,4382,4592,4623,5057,3891,4024,4202,4245,5655,6164,6022,5163,4649,4968,3406,2842,1968,1054,511,4162,4402,4463,4463,3174,3847,4166,4530,5888,6668,6030,5247,4975,5258,3968,3533,2704,2037,1316
Richmondshire,E07000166,29197,24687,10473,33499,9912,1509,1471,1582,1970,3420,2795,1784,1422,1880,1818,1758,1643,1513,1650,1156,878,563,249,136,1450,1314,1352,1311,1108,1449,1408,1312,1792,1849,1836,1560,1666,1695,1130,1050,691,469,245
Ryedale,E07000167,25613,26599,9727,29487,12998,1243,1311,1381,1750,1196,1083,1096,1155,1609,1959,2003,1860,1980,2126,1390,1106,794,388,183,1141,1271,1332,1462,1072,1123,1115,1222,1780,2080,2013,2002,1975,2124,1564,1286,1013,636,388
Scarborough,E07000168,52329,55894,19563,61775,26885,2745,2668,2742,3204,3140,2828,2417,2331,3153,3675,4002,3629,3783,4084,2851,2357,1491,849,380,2634,2592,2508,2948,3060,2780,2537,2552,3361,3916,4143,3892,4098,4308,3296,2736,2249,1408,876
Selby,E07000169,41498,43230,17591,51572,15565,2500,2498,2431,2467,2166,2228,2284,2335,3145,3412,3359,2831,2707,2665,1690,1290,851,447,192,2397,2358,2303,2483,2130,2277,2475,2507,3269,3571,3434,2814,2782,2662,1883,1509,1158,747,471
South Yorkshire (Met County),E11000003,670977,687176,285191,838135,234827,42991,40839,37359,43673,55982,45219,43070,38943,46898,48849,45731,39780,36459,35858,25702,20308,13327,7161,2828,41004,38858,36018,42189,53689,46080,42948,38225,47711,48786,45261,39838,36926,38008,28322,25001,18938,11943,7431
Barnsley,E08000016,116211,119546,49460,143436,42861,7475,7029,6331,7226,6945,7289,7097,6405,8621,9293,8478,7519,7122,6872,4877,3623,2365,1220,424,7078,6560,6183,7038,6871,7698,7338,6552,8657,9120,8472,7558,6941,7173,5193,4410,3365,2148,1191
Doncaster,E08000017,150113,153509,64976,184365,54281,9806,9173,8401,9214,9758,10133,10020,8838,10362,10876,10871,9641,8722,8340,5879,4586,3190,1669,634,9382,9010,8139,8956,9094,10114,9349,8388,10471,11337,10644,9704,8938,8786,6512,5869,4454,2781,1581
Rotherham,E08000018,127127,131562,56101,154796,47792,8197,7900,7578,8104,7610,7679,7392,6860,9265,9864,9300,8240,7667,7610,5324,4184,2539,1359,455,7811,7511,7425,7621,7492,8111,7994,7277,9281,9734,9135,8173,7676,7979,5919,4974,3683,2293,1473
Sheffield,E08000019,277526,282559,114654,355538,89893,17513,16737,15049,19129,31669,20118,18561,16840,18650,18816,17082,14380,12948,13036,9622,7915,5233,2913,1315,16733,15777,14271,18574,30232,20157,18267,16008,19302,18595,17010,14403,13371,14070,10698,9748,7436,4721,3186
West Yorkshire (Met County),E11000006,1107411,1144781,509391,1389588,353213,78407,71956,66155,72735,84997,77577,76968,69955,79232,79057,71736,63420,58848,54303,37394,30527,19556,10391,4197,75334,69836,64480,71052,85113,79611,78569,69162,79202,78841,73599,63693,59444,57567,42405,37776,29062,18727,11308
Bradford,E08000032,259282,267087,138305,314492,73572,20834,19777,18489,17937,17436,18007,19178,17514,18109,16917,15598,14395,12789,10885,7560,6402,4233,2260,962,20349,19354,17805,17281,17006,19255,19041,16526,17922,17400,16691,14473,12714,11515,8654,8181,6287,4118,2515
Calderdale,E08000033,101077,105278,45679,125420,35256,6685,6285,6121,6380,5718,5943,6389,6049,7855,8039,7388,6623,6061,5772,3802,2831,1764,971,401,6493,6353,5870,6034,5671,6318,6554,6258,7750,8069,7523,6547,6123,5981,4189,3571,2844,1905,1225
Kirklees,E08000034,211575,216704,97969,260670,69640,14566,13848,12844,13856,15102,13750,13772,13020,15774,15633,14005,12427,11914,11118,7619,5964,3663,1935,765,14040,13535,12791,13289,14268,13885,14211,13051,15565,15252,14171,12162,11908,11794,8419,7301,5466,3422,2174
Leeds,E08000035,373557,387924,158573,487427,115481,25855,22348,19778,24638,37178,29582,27744,24110,25440,25565,22741,19507,18234,16915,11902,10225,6749,3601,1445,24486,21451,19166,25029,38457,29085,28145,23868,25729,25417,23377,20147,18923,18257,13870,12712,9871,6286,3648
Wakefield,E08000036,161920,167788,68865,201579,59264,10467,9698,8923,9924,9563,10295,9885,9262,12054,12903,12004,10468,9850,9613,6511,5105,3147,1624,624,9966,9143,8848,9419,9711,11068,10618,9459,12236,12703,11837,10364,9776,10020,7273,6011,4594,2996,1746
EAST MIDLANDS,E12000004,2268092,2330637,960989,2801458,836282,141376,135064,129634,147961,162166,139997,138491,131990,160018,170111,158498,137577,133713,133422,91987,71155,48465,25596,10871,135638,129500,123732,139665,156068,141313,141483,134484,164497,173363,160267,139085,136756,137670,99046,82285,64940,43343,27502
Derby,E06000015,124486,126937,57835,153973,39615,9170,8389,7499,8246,10546,9109,8506,7845,8524,8939,7916,6413,5862,5634,3969,3506,2500,1359,554,8883,7885,6916,7607,9907,9269,8797,7673,8721,8930,7784,6523,5949,6063,4589,4179,3512,2317,1433
Leicester,E06000016,165230,168582,79488,215569,38755,12694,11448,10124,11566,17708,14288,13583,11011,10350,9867,9674,8482,7367,5592,3979,3322,2275,1294,606,12486,10911,9494,11455,18913,14467,12718,10380,10554,10011,9793,8454,7259,5763,4647,4197,3377,2300,1403
Nottingham,E06000018,156734,154103,63854,210287,36696,10630,9146,7882,12446,23967,13326,12077,9917,9838,9359,8564,6961,6402,5402,3624,3159,2290,1197,547,10016,8681,7540,12387,23377,12204,10899,8717,9424,9224,8282,7050,5825,5282,4257,3995,3296,2314,1333
Rutland,E06000017,19225,18381,7768,21294,8544,929,964,1160,1587,1115,1154,1044,1032,1242,1384,1309,1125,1252,1294,956,760,509,273,136,840,943,1032,1318,727,747,862,906,1228,1430,1265,1199,1268,1365,1036,811,631,460,313
Derbyshire,E10000007,381520,394640,154799,466244,155117,21407,21532,21467,23834,21515,20645,20857,21014,28341,31096,28869,25448,24944,25333,17388,12756,8704,4402,1968,20527,20640,20690,22539,20470,21433,21892,22159,29158,31593,28522,25392,25059,26122,18504,15166,11777,7858,5139
Amber Valley,E07000032,60600,62898,24205,74242,25051,3333,3355,3414,3607,3288,3147,3317,3426,4593,4839,4569,4101,4120,4223,2910,1923,1416,707,312,3174,3136,3333,3604,3216,3395,3527,3568,4688,4971,4509,4083,4134,4266,2905,2394,1805,1276,914
Bolsover,E07000033,37824,38905,15712,46343,14674,2247,2158,2131,2379,2257,2192,2201,2135,2870,3064,2778,2409,2307,2407,1699,1236,799,398,157,2161,2144,2046,2284,2164,2330,2287,2078,2994,3084,2611,2408,2336,2456,1740,1426,1125,757,474
Chesterfield,E07000034,51049,52981,20415,63157,20458,2945,2734,2775,3273,3006,3029,3130,2805,3820,4034,3822,3341,3236,3115,2250,1655,1178,625,276,2847,2739,2568,3115,2960,3099,3091,3090,3784,4145,3672,3333,3179,3357,2438,2047,1609,1181,727
Derbyshire Dales,E07000035,35095,36171,13194,40715,17357,1472,1848,2047,2118,1686,1537,1460,1588,2390,2921,2818,2593,2714,2831,1858,1484,985,517,228,1491,1753,1943,2011,1390,1342,1398,1723,2482,2936,2828,2664,2756,2879,2030,1697,1307,907,634
